,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
636,9.005384739080302e-06,1.1437237846523285e-06,0,-1,S6PG,False
637,7.213637681538487e-06,1.1069842918709494e-06,0,-1,TRE6PH,False
638,1.085750499318916e-05,1.2286555484269934e-06,0,-1,GLTPD,False
639,1.4671471421368043e-06,-6.023647961678202e-07,0,-1,DKMD3M,False
640,4.786724361549588e-06,-2.8740560346907085e-06,0,-1,OXADC,False
641,1.832895659581446e-06,-0.06997862948526151,0,-1,PENCAC,False
642,1.4245992059069845e-06,3.6854265780816853e-07,0,-1,PMDPHT,False
643,4.478749790676195e-06,-0.06997862948527644,0,-1,RBFSb,False
644,8.668039322201615e-06,4.655572138634323e-07,0,-1,GALCTD_1,False
645,1.6761865211462057e-05,-0.06997862948525085,0,-1,GLCRD_1,False
646,6.111954313486878e-05,-1.3625290099766874e-05,0,-1,HOXPRx,False
647,-2.3733359566791012e-06,-0.0699786294852433,0,-1,DHBD,False
648,1.916079549373062e-05,6.183187743619145e-07,0,-1,PSP_D,False
649,1.9625702868786288e-05,-0.06997862948527123,0,-1,ARAI,False
650,1.039821434187238e-05,1.4498045900201983e-06,0,-1,XYL14BASE,False
651,8.669428778515509e-05,9.535687599260267e-07,0,-1,ADADir,False
652,0.00117648928609293,8.416176794784347e-07,0,-1,NDPK6,False
653,-2.3145334826085717e-06,-0.0004369776412069398,0,-1,AKP1,True
654,-4.170066759817681e-07,-0.06997862948526991,0,-1,PTHPS,False
655,3.079490494550807e-07,-1.9898140472818238e-07,0,-1,DHPPDA,False
656,-4.8024887552983175e-06,2.767350691212922e-06,0,-1,DMPPS,False
657,0.0012141458433405639,5.0247973180928e-07,0,-1,UAAGDS,True
658,9.777664904651873e-05,-9.801382979401918e-07,0,-1,PANTS,False
659,-4.4381338490384614e-05,4.4207607896584733e-07,0,-1,ACONT,False
660,-3.932958871175063e-06,4.958687815220797e-07,0,-1,CHORM,True
661,0.0009919128593873089,5.871777276345025e-07,0,-1,UAPGR,True
662,-1.7521370244563683e-05,-0.00041015814418306207,0,-1,HPPK,True
663,-0.024549190157562406,-2.769571983779473e-06,745,-1,G1SAT,False
664,-0.02375902689823589,4.935599197120055e-07,745,-1,IPMD,True
665,-4.1451472266071376e-05,5.207891056180358e-07,0,-1,IPPMIb,True
666,4.3208309934442135e-05,4.129646792860875e-07,0,-1,DPR,False
