,algebraic connectivity (directed),algebraic connectivity (undirected),eigen gap (directed),eigen gap (undirected),node,essential
92,1.758932950679526e-08,-4.414118652720789e-06,0,-1,HKYNH,False
93,3.6317007179320626e-07,-1.3021296677157013e-06,0,-1,IG3PS,True
94,-1.4094557549554354e-07,-0.05145942466625401,0,-1,ILETA,False
95,-2.3405221172972945e-07,-8.165420539975321e-06,0,-1,KYN,False
96,-3.528217018544666e-07,-0.05145942466624291,0,-1,LEUTA,True
97,8.799866259290301e-07,-3.3906052751067617e-06,0,-1,LPCAT_SC,False
98,6.445637264304582e-06,1.11485912063225e-06,0,-1,LPP_SC,False
99,-1.0226768529936203e-07,-3.2524906579817214e-06,0,-1,LSERDHr,False
100,3.067433240258599e-07,-5.811986330060692e-06,0,-1,METS,True
101,-2.4553533487653434e-07,-1.1989924997568568e-06,0,-1,MHPGLUT,False
102,-3.370498839973257e-05,-0.00047818123137343543,0,-1,NDP3,False
103,1.871452968982279e-07,1.6364126994780626e-06,0,-1,NDP4,False
104,1.4738772653732912e-08,-1.3058097910190192e-06,0,-1,NTRLASE2,False
105,5.3851235241875184e-08,-4.3637804909152367e-07,0,-1,NTRLASE3,False
106,-2.3271756468407068e-07,-0.05145942466624535,0,-1,OHPBAT,False
107,-1.0088645648748118e-07,-1.5527336621468102e-06,0,-1,ORNTA,False
108,9.616009757212884e-08,-0.05145942466624937,0,-1,P5CR,True
109,-1.5906408527069371e-06,-8.74534620907974e-06,0,-1,PCDAGAT,False
110,1.8296984737042887e-07,6.739993999305138e-07,0,-1,PDE2,False
111,3.0422864687879025e-07,1.2225625336328982e-06,0,-1,PDE4,False
112,3.1322319067605964e-07,-3.6911365360048354e-07,0,-1,PDE5,False
113,-2.6886618824384367e-07,-0.05145942466626048,0,-1,PHETA1,True
114,-4.137278340130002e-06,-0.051459424666253514,0,-1,PINOS_SC,True
115,4.445399365081426e-06,-7.719170233150274e-07,0,-1,PLD_SC,False
116,1.247431543685562e-06,-2.762598038649755e-06,0,-1,PMETM_SC,True
117,-3.4963255311631913e-06,-1.5985295128140287e-05,0,-1,PPNCL2,False
118,3.6523061727744555e-08,-2.869163599379665e-06,0,-1,PRAGSr,True
